name,slug,industry,sector,hq_city,hq_state,size,score,certified_date,bcorp_profile_url
Four Objects Ltd,four-objects-ltd,Apparel,Wholesale/Retail,,,0,99.1,2022-10-03,https://www.bcorporation.net/en-us/find-a-b-corp/company/four-objects-ltd/
Frank & Eileen,frank-eileen,Apparel,Wholesale/Retail,Los Angeles,California,10-49,125.5,2020-11-24,https://www.bcorporation.net/en-us/find-a-b-corp/company/frank-eileen/
Free Fly Apparel,free-fly-apparel,Apparel,Wholesale/Retail,Charleston,South Carolina,50-249,83.1,2025-02-23,https://www.bcorporation.net/en-us/find-a-b-corp/company/free-fly-apparel/
GOEX Apparel,the-go-exchange,Apparel,Manufacturing,Kansas City,Missouri,10-49,94.9,2024-01-15,https://www.bcorporation.net/en-us/find-a-b-corp/company/the-go-exchange/
Gallant International Inc.,gallant-international-inc,Apparel,Wholesale/Retail,Mission Viejo,California,1-9,95.9,2020-03-25,https://www.bcorporation.net/en-us/find-a-b-corp/company/gallant-international-inc/
Good American,good-american,Apparel,Wholesale/Retail,Los Angeles,California,50-249,85.7,2021-10-07,https://www.bcorporation.net/en-us/find-a-b-corp/company/good-american/
Happy Earth Apparel,happy-earth-apparel,Apparel,Wholesale/Retail,,,1-9,91.4,2021-02-09,https://www.bcorporation.net/en-us/find-a-b-corp/company/happy-earth-apparel/
Jetty,jetty,Apparel,Manufacturing,Manahawkin,New Jersey,50-249,89.9,2017-08-16,https://www.bcorporation.net/en-us/find-a-b-corp/company/jetty/
KNOWN SUPPLY,known-supply,Apparel,Wholesale/Retail,Costa Mesa,California,1-9,96.9,2019-07-17,https://www.bcorporation.net/en-us/find-a-b-corp/company/known-supply/
Kalsoni,kalsoni,Apparel,Wholesale/Retail,Minneapolis,Minnesota,0,129.9,2025-06-12,https://www.bcorporation.net/en-us/find-a-b-corp/company/kalsoni/
Karen Kane,karen-kane,Apparel,Manufacturing,Los Angeles,California,50-249,82.2,2020-03-26,https://www.bcorporation.net/en-us/find-a-b-corp/company/karen-kane/
Kind Cotton LLC,kind-cotton-llc,Apparel,Wholesale/Retail,Silver Spring,Maryland,0,80,2025-07-15,https://www.bcorporation.net/en-us/find-a-b-corp/company/kind-cotton-llc/
Krimson Klover,krimson-klover,Apparel,Wholesale/Retail,Boulder,Colorado,10-49,80.7,2026-03-18,https://www.bcorporation.net/en-us/find-a-b-corp/company/krimson-klover/
LIVSN Designs,livsn-designs,Apparel,Wholesale/Retail,BENTONVILLE,Arkansas,1-9,111.2,2025-05-12,https://www.bcorporation.net/en-us/find-a-b-corp/company/livsn-designs/
Looptworks,looptworks,Apparel,Manufacturing,Portland,Oregon,10-49,83.6,2014-03-02,https://www.bcorporation.net/en-us/find-a-b-corp/company/looptworks/
MATE the Label,mate-the-label,Apparel,Wholesale/Retail,Los Angeles,California,10-49,84.4,2023-04-23,https://www.bcorporation.net/en-us/find-a-b-corp/company/mate-the-label/
